id;nome
P1;Christopher Nolan
P2;Leonardo DiCaprio
P3;Cillian Murphy
P4;Tom Hardy
P5;Sam Mendes
P6;Ryan Gosling
P7;Christian Bale
P8;Martin Scorsese
P9;Brad Pitt
P10;Matthew McConaughey
